Year,LandAndOceanAverageTemperature
1962,13.655
1956,16.605
1972,14.419
1924,15.081
1880,15.918
1997,15.634
1889,13.996
1898,15.914
2013,17.503
1953,14.332
1877,15.126
1931,16.887
1949,16.807000000000002
1960,15.956
1894,16.226000000000006
1974,13.49
1884,16.185000000000002
1913,13.953
1895,15.005
1858,16.172
1889,13.401
1878,14.882
1913,16.496000000000002
1992,15.51
2012,17.42
2007,17.339000000000002
1947,14.435
1927,13.493
1890,15.624
1912,13.249
1874,16.122
1956,14.231
1933,16.701
1911,15.497
1906,14.245
1956,13.626
1880,15.85
2001,15.831
1995,16.279
2008,15.931
1891,16.297
1933,15.823
1999,15.675
1977,17.047
1873,13.353
1887,13.946
1956,15.159
1927,13.65
1874,13.807
1877,13.704
1948,14.284
1934,16.740000000000002
1891,14.190999999999999
1997,13.818
1914,14.103
1931,16.967
2000,14.632
1944,15.432
1927,14.084
1919,13.309
1887,16.214000000000002
1864,16.715
1895,15.703
1863,16.224
1982,17.0
1967,16.244
1934,13.276
1889,16.604
2001,14.982
1886,13.888
1959,13.636
1960,14.313
2008,17.282
1959,15.405
2006,17.215999999999998
2014,17.508
1940,15.452
1996,13.720999999999998
1962,14.003
1905,16.558
1965,16.154
1853,16.455000000000002
1890,13.068
2010,15.222999999999999
1987,17.296
1945,15.574000000000002
1882,14.033
1866,13.586
1919,13.914
1920,13.347000000000001
1988,15.639000000000001
1859,15.197
2011,16.762
1908,13.783
1928,14.229
2012,15.001
1943,13.957
1940,14.377
1955,14.211
1950,16.033
1857,14.918
1889,14.446
1866,15.062000000000001
1856,13.311
1860,16.634
1858,16.489
1910,13.75
1877,17.076
1942,16.265
1894,13.347
1865,16.414
1983,14.169
2005,16.629
1962,13.776
1942,13.821
1931,13.621
1917,15.537
1960,16.985
1883,14.235999999999999
1982,14.337
1971,16.539
2008,15.077
1923,14.959
1959,16.776
1923,15.249
1955,16.555
1938,16.904
1891,16.07
1927,15.045
1939,13.757
1891,13.559000000000001
1940,16.43
1966,13.495
1980,14.645999999999999
1962,16.952
1907,16.596
1954,15.423
1923,13.24
1855,15.075
1874,13.392
1889,16.796
1872,14.101
1902,13.302
1926,16.581
1937,16.941
1910,16.543
1862,14.902000000000001
2015,17.611
1892,16.476
1913,13.344000000000001
1937,15.228
1970,13.707
1955,15.119000000000002
1866,16.695
1899,16.243000000000002
1964,13.522
1945,14.453
1971,13.627
1895,13.084
1876,13.193
2013,15.749
1986,16.695999999999998
1949,13.704
1986,14.084000000000001
1906,16.593
1892,13.264
1951,14.277999999999999
1937,16.051
2000,16.395
1938,14.408
1990,17.11
1977,16.312
1862,12.732
1862,15.788
1950,14.06
1996,14.207
2002,15.818
1894,13.455
1973,16.288
1950,16.730999999999998
1932,14.252
1909,14.719
1993,14.725
1982,16.625
1965,15.095
1868,13.295
2006,14.966
1852,16.984
1899,15.026
1876,13.496
1893,14.110999999999999
1908,13.441
2002,16.799
