Year,LandAverageTemperature,LandMaxTemperature,LandMinTemperature
1996,14.603,20.416,8.918
1996,5.524,11.411,-0.28500000000000003
1944,3.4339999999999997,8.895999999999997,-1.969
1952,8.461,14.565,2.445
1857,9.885,15.6,3.639
1954,3.084,8.863,-2.6740000000000004
1993,13.517999999999999,19.292,7.767
1998,4.6690000000000005,10.083,-0.6559999999999999
1963,14.309,20.009,8.471
1867,13.505999999999998,19.625999999999998,7.705999999999999
1936,13.363,19.171,7.2879999999999985
2003,14.017,19.77,8.222000000000001
1974,11.744000000000002,17.430000000000003,6.14
1929,5.099,10.982,-1.131
1998,9.357999999999999,15.255,3.439
2015,5.518,10.725,0.2869999999999997
1923,13.984000000000002,19.81,8.012
1985,5.968,11.331,0.703
1915,6.216,12.159,0.297
1925,14.066,19.971,8.047
1872,2.35,8.953,-3.26
1971,12.139,17.918000000000006,6.462999999999999
1961,8.631,14.497,2.817
1949,13.826,19.77,8.004
1933,11.854,17.631,6.055
1928,11.169,17.060000000000002,4.981000000000001
1973,9.609,15.182,3.913
1942,3.945,9.368,-1.4740000000000002
1907,2.9560000000000004,8.831,-2.585
1900,13.816,19.85,7.891999999999999
2005,7.422999999999999,12.944,1.988
1872,1.652,8.228,-3.228
1892,4.859,10.432,-1.014
1850,10.004,15.655,3.8110000000000004
1882,3.2310000000000003,8.754,-3.067
1888,10.62,16.329,4.187
1907,7.579,13.401,1.521
1859,13.827,19.444000000000006,7.85
1871,11.710999999999999,17.394000000000002,5.037
1984,8.431999999999999,14.335,2.608
1980,14.189,19.814,8.562999999999999
1857,12.610999999999999,17.372,5.849
1922,13.331,19.153,7.266
1960,13.484000000000002,19.305999999999997,7.729
1901,3.335,9.061,-2.28
1947,5.801,11.8,-0.3670000000000001
1970,13.658,19.43,8.097000000000001
1957,12.312,18.065,6.407
1954,13.868,19.588,8.184
1903,2.898,8.533,-2.6870000000000003
1938,11.456,17.429000000000002,5.4270000000000005
1875,7.635999999999999,13.759,1.1740000000000002
1884,13.622,19.569000000000006,7.468
1953,13.612,19.461,7.749
1980,3.652,9.26,-1.864
1973,13.869000000000002,19.707,8.427
1942,2.857,8.544,-2.883
1874,13.306,19.062,6.857
