Year,AverageTemperature
1878,26.257
1927,22.653
1851,-6.393
1900,9.687
1930,20.803
1851,15.843
1862,17.769000000000002
1955,14.803
1933,10.105
1925,-16.701
1839,11.242
1971,26.996
1940,27.924
1981,24.267000000000003
2004,14.939
1904,22.623
1876,5.332999999999998
1977,28.605
1874,16.035
1919,26.585
1832,1.0699999999999998
1947,20.863000000000003
1955,16.345
2012,9.017
1931,19.398
2004,-0.968
1785,3.568
1997,14.466
1908,30.733
1890,18.93
1921,1.877
1856,3.975
1921,8.099
1997,19.443
1950,27.642
1918,28.342
1772,4.583
1960,28.917
1847,21.956
1841,32.935
1939,21.965
1876,23.678
1757,6.135
1757,7.266000000000001
2000,24.168000000000003
1876,16.863
1899,14.255
1903,13.694
1987,18.861
1817,20.172
1878,23.71
1840,27.038
1869,14.624
1818,9.012
2013,19.235
1887,22.718000000000004
1996,10.418
1830,27.955
1935,18.808
1967,13.469
1965,21.396
1774,-3.709
1832,-5.027
1947,27.042
1909,18.17
1986,-0.0789999999999999
1933,24.615
1806,26.011000000000006
1888,11.083
1809,-17.139
1856,9.843
1904,26.306
1987,20.721
1879,28.997
1997,-1.6269999999999998
1905,11.137
1915,25.397
1921,9.281
1863,17.891
1899,-0.8270000000000008
1927,29.038
1934,32.852000000000004
1836,12.815
1950,16.541999999999998
1905,16.62
1849,23.923
1929,0.8040000000000003
1800,7.736999999999999
1931,14.315
1866,21.895
1967,28.17
1906,-3.834
1814,0.2989999999999995
1877,-16.538
1873,29.904
1879,26.184
1891,13.576
1997,29.23
1758,17.393
1849,25.942
1782,11.434
1982,24.069000000000003
1937,19.112
1926,23.001
1991,28.316
1903,26.586
1842,18.874
1914,18.845
1928,8.591000000000001
1963,15.033
1894,20.146
1860,25.141
1915,16.873
1960,22.167
1914,22.349
1930,13.941
1908,-15.226
1946,24.114
1945,-9.557
1947,14.902
1971,30.091
1887,23.744
1987,5.118
1813,29.621
1828,12.614
1995,10.933
1823,13.639
1996,20.355
1966,9.549
2003,18.407
1933,30.13000000000001
1850,19.785
1887,15.556
1965,28.03
1905,21.451
1875,20.459
1881,19.893
1916,27.122
1942,10.693
1876,14.956
1958,32.481
1869,18.06
1839,31.587
1912,29.94100000000001
1941,28.335
1953,14.822
1986,26.593000000000004
1964,14.565
1886,32.547
1932,28.544
1990,31.889
1991,23.557
1969,32.37
1938,15.279000000000002
1875,4.092
1963,26.838
1940,-4.356999999999998
1931,7.452999999999999
1904,26.096
1862,5.1160000000000005
1859,21.049
1958,0.1959999999999999
1865,24.527
1999,26.32
1892,32.305
1753,-7.213999999999999
1903,24.074
1786,-7.731
1924,20.553
1869,-2.5859999999999994
1956,15.529000000000002
1911,23.535
1763,11.839
1959,26.657
1899,12.0
1978,25.694000000000003
1903,28.861
1875,22.912
1843,14.81
1883,26.425
1881,13.336
1972,9.159
1972,-1.751
1855,21.777
1951,28.539
1948,23.905
1973,27.042
1888,3.964
1845,2.305
1867,27.226
1957,32.809999999999995
1959,23.468000000000004
1902,16.846
1857,19.55
1938,19.1
1938,24.487
1927,17.33
1912,16.191999999999997
1852,26.792
1933,23.933000000000003
1947,4.942
2011,15.488
1963,23.193
1908,17.991
1884,23.893
1992,26.734
1960,15.189
1872,20.218
1926,17.095000000000002
1947,-14.654000000000002
1988,29.795
1876,15.769999999999998
1797,27.886
1861,26.84
1951,20.871
1786,12.341
1947,23.516
1891,24.08
1933,15.911
1966,23.669
1785,19.005
1970,31.035
1870,25.131
1950,33.584
1906,21.878
1947,14.057
1864,10.581
1806,18.332
1905,17.637999999999998
1948,7.25
1955,0.2189999999999998
1960,23.932
1860,23.349
2003,6.343999999999999
1927,4.6160000000000005
1907,24.314
1994,19.977
1832,2.162
1804,24.085
2010,15.697
1926,-4.6080000000000005
1886,26.07
1987,28.611
1865,-1.6330000000000002
1893,-14.405
1923,26.281
1885,23.478
1882,19.561
1962,17.654
1884,15.454999999999998
1875,25.528
1874,11.537
2008,26.442
1796,16.91
1957,32.673
1898,32.033
1956,19.342
1843,31.794
1996,22.343000000000004
1868,25.286
1998,7.574
1802,29.928
1971,25.338
1876,21.995
1873,25.125
1927,12.964
1900,30.466
1825,15.153
1913,8.704
1899,12.564
1897,25.12
1975,18.825
1906,28.025
1957,11.834
1987,23.831
1956,27.044
1959,14.848
1889,-20.924
1879,18.475
1899,-4.556
1859,24.201
1975,25.557
1995,21.988000000000003
1769,11.351
1906,21.401
1977,3.295
1994,20.526
1993,0.3370000000000001
1808,-1.9510000000000003
1919,7.667000000000001
1905,22.476
1991,14.468
2004,27.66
1946,15.352
1916,30.012
1977,6.574
1914,16.512999999999998
1812,14.326
1856,4.323
1941,30.158
1934,23.997
1990,15.828
1911,4.2360000000000015
1819,25.192
1818,32.309
1869,13.837
1910,30.228
1878,13.763000000000002
1846,16.351
1979,30.086
1977,-7.330999999999999
1822,2.704
1875,5.452999999999999
1858,3.6190000000000007
1914,22.218000000000004
1893,19.675
1934,18.015
1972,31.853
1917,17.157
1920,16.182000000000002
1868,23.836
1992,25.917
1998,15.333
1973,26.696
1840,-6.53
1808,6.978
1941,17.616
1864,8.414
1897,22.227
2011,21.69
1821,15.368
1913,31.275
1958,2.428
1984,21.317
1908,26.334
1908,13.206
1846,31.194000000000003
1819,28.601
1904,24.768
1878,-12.312
1873,0.856
1849,28.229
1889,18.512
1966,21.573
1953,23.224
2010,21.164
1925,26.821
1949,23.659
1757,14.812
1907,13.331
1990,29.597
1945,33.522
1845,27.815
1895,1.864
2000,22.095
1905,19.459000000000003
1984,15.525
1963,17.864
1866,29.292
1950,7.749
1913,19.626
1897,22.807
1815,30.323
1932,16.605
1921,21.391
1970,28.121
1950,17.031000000000002
1933,13.417
1900,22.414
1928,27.99
1815,5.6
1776,11.817
1853,24.696
1894,-2.467
1840,19.401
1905,3.321
1884,25.546
1794,17.554000000000002
